Symptoms	IsUrgent
صداع خفيف بعد يوم عمل طويل، دون حمى أو قيء أو اضطراب في الرؤية.	false
ألم شديد ضاغط بمنتصف الصدر مع تعرق بارد.	true
ألم بسيط في الرأس بعد قلة النوم، يتحسن بالراحة ولا يصاحبه ضعف أو دوار.	false
ألم مفاجئ قوي بالصدر يمتد إلى الذراع اليسرى ويصاحبه غثيان.	true
صداع خفيف معتاد عند تأخير الوجبة، دون أعراض جديدة.	false
ثقل شديد على الصدر مع ضيق تنفس أثناء الراحة.	true
ضغط خفيف حول الجبهة بعد القراءة المطولة، يزول عند الاستراحة.	false
ألم حاد مفاجئ بالصدر والظهر مع شعور بقرب الإغماء.	true
ألم خفيف في الرأس بعد الجلوس أمام الشاشة، دون تغير في النظر.	false
ألم شديد بالصدر مستمر منذ دقائق ولا يخف بالراحة.	true
صداع تدريجي بسيط مع شد في عضلات الرقبة بعد العمل، دون حمى أو تيبس.	false
ضغط قوي بالصدر يمتد إلى الفك مع دوخة شديدة.	true
ثقل خفيف بالرأس في نهاية اليوم، مع القدرة على أداء الأنشطة المعتادة.	false
ألم صدر شديد ظهر أثناء المشي ويستمر بعد التوقف.	true
صداع بسيط مماثل لنوبات سابقة، دون زيادة في الشدة أو أعراض مصاحبة.	false
ألم مفاجئ بالصدر مع سعال دموي وصعوبة في التنفس.	true
ألم خفيف بالجبهة بعد التركيز لساعات، يتحسن بالنوم.	false
ألم قوي بالصدر مصحوب بخفقان وشعور بالإغماء.	true
صداع خفيف متقطع منذ يومين، دون إصابة بالرأس أو قيء أو أعراض عصبية.	false
ألم شديد بالصدر مع شحوب وتعرق وصعوبة في الوقوف.	true
رشح بسيط مع عطاس متقطع، دون حمى أو صعوبة في التنفس.	false
ضيق تنفس شديد يمنع إكمال جملة واحدة.	true
انسداد خفيف في الأنف منذ يوم، مع تنفس طبيعي من الفم.	false
صعوبة بالغة في التنفس مع ازرقاق الشفتين.	true
