Symptoms	Expected	Predicted	Probability
ابتلاع مادة سامة أو كمية كبيرة من دواء	Urgent	Normal	37.5%
حرارة خفيفة لا تتجاوز 37.8 درجة مع تعب عام	Normal	Urgent	60.6%
تعب في العين بعد استخدام الشاشة لفترة طويلة	Normal	Urgent	65.4%
فحص روتيني سنوي واستشارة وقائية	Normal	Urgent	88.0%
جفاف في الحلق مع رغبة في شرب الماء بكثرة	Normal	Urgent	88.4%
رغبة في استشارة بخصوص نظام غذائي	Normal	Urgent	81.7%
سؤال عن جرعة دواء مزمن معتاد	Normal	Urgent	88.5%
متابعة نتيجة تحليل دم روتيني	Normal	Urgent	89.7%
عطس متكرر عند التعرض للغبار	Normal	Urgent	88.8%
رغبة في تجديد وصفة نظارة طبية	Normal	Urgent	68.8%
استفسار عن نتائج فحص دوري سابق	Normal	Urgent	84.6%
شعور بالنعاس الزائد خلال النهار	Normal	Urgent	80.2%
